------------------------------------------------------------------------------
Dataset: adult | Method: Curv   | Seed: 0 | Budget: 150
------------------------------------------------------------------------------
Trial | Loss
------+-----------
    1 |  0.15369445
    2 |  0.15645370
    3 |  0.15909259
    4 |  0.16323148
    5 |  0.15925926
    6 |  0.15412037
    7 |  0.15356482
    8 |  0.16014815
    9 |  0.15255555
   10 |  0.15502778
   11 |  0.15136111
   12 |  0.15349074
   13 |  0.15437963
   14 |  0.15550926
   15 |  0.15661111
   16 |  0.15356481
   17 |  0.15294445
   18 |  0.15604629
   19 |  0.15319444
   20 |  0.16176852
   21 |  0.15358025
   22 |  0.15211111
   23 |  0.15378704
   24 |  0.15835185
   25 |  0.17703704
   26 |  0.15692361
   27 |  0.15213889
   28 |  0.15838889
   29 |  0.21868518
   30 |  0.15486111
   31 |  0.15391667
   32 |  0.15947222
   33 |  0.18765741
   34 |  0.15810185
   35 |  0.15376852
   36 |  0.15142592
   37 |  0.14979629
   38 |  0.15667592
   39 |  0.15551852
   40 |  0.18330555
   41 |  0.20018518
   42 |  0.15955555
   43 |  0.15390741
   44 |  0.15809259
   45 |  0.15257408
   46 |  0.15829629
   47 |  0.15548765
   48 |  0.15583333
   49 |  0.15471296
   50 |  0.15124073
   51 |  0.15379629
   52 |  0.15233598
   53 |  0.15245370
   54 |  0.15548148
   55 |  0.15714815
   56 |  0.15610185
   57 |  0.16043518
   58 |  0.15923148
   59 |  0.15209259
   60 |  0.15456481
   61 |  0.15291667
   62 |  0.15524074
   63 |  0.15539815
   64 |  0.14969444
   65 |  0.16026852
   66 |  0.15792592
   67 |  0.18203704
   68 |  0.15887036
   69 |  0.15073148
   70 |  0.20814815
   71 |  0.17245370
   72 |  0.17601852
   73 |  0.16942592
   74 |  0.15355555
   75 |  0.15536420
   76 |  0.15626852
   77 |  0.15237302
   78 |  0.15430555
   79 |  0.16046296
   80 |  0.15450000
   81 |  0.15537963
   82 |  0.15587036
   83 |  0.18920370
   84 |  0.15545988
   85 |  0.17086111
   86 |  0.15259259
   87 |  0.15275265
   88 |  0.15508796
   89 |  0.15204629
   90 |  0.16512962
   91 |  0.15616667
   92 |  0.15550926
   93 |  0.15668519
   94 |  0.16609259
   95 |  0.17114815
   96 |  0.17439815
   97 |  0.15007407
   98 |  0.15338889
   99 |  0.15906481
  100 |  0.15990741
  101 |  0.15786111
  102 |  0.15524074
  103 |  0.15842592
  104 |  0.15877777
  105 |  0.15086111
  106 |  0.15347222
  107 |  0.15759259
  108 |  0.16240741
  109 |  0.15276852
  110 |  0.15211111
  111 |  0.15283333
  112 |  0.16075000
  113 |  0.16144445
  114 |  0.15200926
  115 |  0.15402778
  116 |  0.16107407
  117 |  0.19103704
  118 |  0.15770370
  119 |  0.15800926
  120 |  0.15333598
  121 |  0.15243518
  122 |  0.15991666
  123 |  0.15119444
  124 |  0.15181481
  125 |  0.15800926
  126 |  0.15047222
  127 |  0.15508333
  128 |  0.15233598
  129 |  0.15131481
  130 |  0.15710185
  131 |  0.16079630
  132 |  0.15053703
  133 |  0.15720370
  134 |  0.15491666
  135 |  0.15492592
  136 |  0.16039815
  137 |  0.15668518
  138 |  0.15829629
  139 |  0.19555555
  140 |  0.15273413
  141 |  0.16392593
  142 |  0.15033598
  143 |  0.15203043
  144 |  0.15345370
  145 |  0.15225000
  146 |  0.15141666
  147 |  0.16172222
  148 |  0.15838888
  149 |  0.19195370
  150 |  0.15800926

------------------------------------------------------------------------------
Dataset: adult | Method: Adapt  | Seed: 0 | Budget: 150
------------------------------------------------------------------------------
Trial | Loss
------+-----------
    1 |  0.15499074
    2 |  0.38736111
    3 |  0.14961851
    4 |  0.15149815
    5 |  0.14993519
    6 |  0.15971296
    7 |  0.16003703
    8 |  0.16242593
    9 |  0.15920370
   10 |  0.15771296
   11 |  0.14940741
   12 |  0.15315740
   13 |  0.15280555
   14 |  0.15163889
   15 |  0.15479629
   16 |  0.15080555
   17 |  0.28272222
   18 |  0.15700926
   19 |  0.14984259
   20 |  0.15237037
   21 |  0.15204630
   22 |  0.15756173
   23 |  0.14909259
   24 |  0.15093518
   25 |  0.15540741
   26 |  0.15441666
   27 |  0.15107407
   28 |  0.15150926
   29 |  0.15833333
   30 |  0.15208333
   31 |  0.15403703
   32 |  0.15224074
   33 |  0.14927592
   34 |  0.17475926
   35 |  0.15119444
   36 |  0.15510185
   37 |  0.15052778
   38 |  0.15165741
   39 |  0.15671296
   40 |  0.15223148
   41 |  0.14961111
   42 |  0.15139815
   43 |  0.15212037
   44 |  0.15249074
   45 |  0.15170371
   46 |  0.15144444
   47 |  0.15300926
   48 |  0.15789815
   49 |  0.15617592
   50 |  0.15041667
   51 |  0.15241667
   52 |  0.15041667
   53 |  0.15161111
   54 |  0.15123148
   55 |  0.17613703
   56 |  0.15313889
   57 |  0.15262963
   58 |  0.16077778
   59 |  0.15459259
   60 |  0.15310185
   61 |  0.15138889
   62 |  0.16930555
   63 |  0.14870370
   64 |  0.18135185
   65 |  0.15574074
   66 |  0.15733334
   67 |  0.17982407
   68 |  0.15380555
   69 |  0.15671296
   70 |  0.15175000
   71 |  0.15206481
   72 |  0.16377778
   73 |  0.20387732
   74 |  0.20276111
   75 |  0.15091667
   76 |  0.15405556
   77 |  0.18597839
   78 |  0.33788889
   79 |  0.22232407
   80 |  0.39130555
   81 |  0.18899074
   82 |  0.15249074
   83 |  0.15854629
   84 |  0.16050000
   85 |  0.15789815
   86 |  0.17435185
   87 |  0.14995370
   88 |  0.15512037
   89 |  0.15206481
   90 |  0.15270370
   91 |  0.15094444
   92 |  0.18392592
   93 |  0.15129629
   94 |  0.15235185
   95 |  0.15169444
   96 |  0.15114815
   97 |  0.14945370
   98 |  0.15344444
   99 |  0.15406482
  100 |  0.15628703
  101 |  0.15192593
  102 |  0.14954629
  103 |  0.14970370
  104 |  0.15001852
  105 |  0.18656481
